,Model,barred spiral galaxies - f1-score,barred spiral galaxies - precision,barred spiral galaxies - recall,barred spiral galaxies - support,cigar shaped smooth galaxies - f1-score,cigar shaped smooth galaxies - precision,cigar shaped smooth galaxies - recall,cigar shaped smooth galaxies - support,disturbed galaxies - f1-score,disturbed galaxies - precision,disturbed galaxies - recall,disturbed galaxies - support,edge-on galaxies with bulge - f1-score,edge-on galaxies with bulge - precision,edge-on galaxies with bulge - recall,edge-on galaxies with bulge - support,edge-on galaxies without bulge - f1-score,edge-on galaxies without bulge - precision,edge-on galaxies without bulge - recall,edge-on galaxies without bulge - support,in-between round smooth galaxies - f1-score,in-between round smooth galaxies - precision,in-between round smooth galaxies - recall,in-between round smooth galaxies - support,merging galaxies - f1-score,merging galaxies - precision,merging galaxies - recall,merging galaxies - support,round smooth galaxies - f1-score,round smooth galaxies - precision,round smooth galaxies - recall,round smooth galaxies - support,unbarred loose spiral galaxies - f1-score,unbarred loose spiral galaxies - precision,unbarred loose spiral galaxies - recall,unbarred loose spiral galaxies - support,unbarred tight spiral galaxies - f1-score,unbarred tight spiral galaxies - precision,unbarred tight spiral galaxies - recall,unbarred tight spiral galaxies - support,macro avg - f1-score,macro avg - precision,macro avg - recall,macro avg - support,weighted avg - f1-score,weighted avg - precision,weighted avg - recall,weighted avg - support,Accuracy
0,C16,0.7352941176470589,0.6493506493506493,0.847457627118644,354,0.5765407554671969,0.9731543624161074,0.4096045197740113,354,0.3473491773308958,0.49222797927461137,0.268361581920904,354,0.8775790921595599,0.8552278820375335,0.9011299435028248,354,0.9072753209700428,0.9164265129682997,0.8983050847457628,354,0.7956104252400549,0.7733333333333333,0.8192090395480226,354,0.8864864864864864,0.8497409326424871,0.9265536723163842,354,0.8870292887029289,0.8760330578512396,0.8983050847457628,354,0.5383141762452108,0.4072463768115942,0.7937853107344632,354,0.5971223021582733,0.8217821782178217,0.4689265536723164,354,0.7148601142407709,0.7614523264903676,0.7231638418079097,3540,0.7148601142407708,0.7614523264903678,0.7231638418079096,3540,0.7231638418079096
1,C2,0.7146814404432134,0.7010869565217391,0.7288135593220338,354,0.6003752345215759,0.8938547486033519,0.4519774011299435,354,0.31481481481481477,0.3469387755102041,0.288135593220339,354,0.7772020725388601,0.7177033492822966,0.847457627118644,354,0.8333333333333334,0.8805031446540881,0.7909604519774012,354,0.7781155015197568,0.8421052631578947,0.7231638418079096,354,0.7580025608194623,0.6932084309133489,0.8361581920903954,354,0.8300751879699247,0.887459807073955,0.7796610169491526,354,0.5219123505976095,0.40307692307692305,0.7401129943502824,354,0.6432,0.7416974169741697,0.5677966101694916,354,0.6771712496558551,0.7107634815767971,0.6754237288135594,3540,0.6771712496558552,0.7107634815767971,0.6754237288135593,3540,0.6754237288135593
2,C4,0.6567901234567901,0.5833333333333334,0.751412429378531,354,0.6797153024911032,0.9182692307692307,0.53954802259887,354,0.39291465378421897,0.45692883895131087,0.3446327683615819,354,0.8489425981873111,0.9123376623376623,0.7937853107344632,354,0.8821917808219178,0.8563829787234043,0.9096045197740112,354,0.8321964529331515,0.8047493403693932,0.8615819209039548,354,0.8428571428571429,0.8526011560693642,0.8333333333333334,354,0.8955650929899859,0.9072463768115943,0.884180790960452,354,0.5941422594142259,0.4717607973421927,0.8022598870056498,354,0.6622734761120262,0.7944664031620553,0.5677966101694916,354,0.7287588883047874,0.7558076117869541,0.728813559322034,3540,0.7287588883047873,0.7558076117869541,0.7288135593220338,3540,0.7288135593220338
3,C8,0.778833107191316,0.7493472584856397,0.8107344632768362,354,0.7104795737122558,0.9569377990430622,0.5649717514124294,354,0.375,0.40728476821192056,0.3474576271186441,354,0.8578947368421053,0.8029556650246306,0.9209039548022598,354,0.9019607843137256,0.8944444444444445,0.9096045197740112,354,0.7524115755627009,0.8731343283582089,0.6610169491525424,354,0.8563758389261745,0.8158567774936062,0.9011299435028248,354,0.8523592085235921,0.9240924092409241,0.7909604519774012,354,0.5306859205776173,0.38992042440318303,0.8305084745762712,354,0.5521235521235521,0.8719512195121951,0.403954802259887,354,0.7168124297773041,0.7685925094217816,0.7141242937853107,3540,0.716812429777304,0.7685925094217815,0.7141242937853107,3540,0.7141242937853107
4,D16,0.8323863636363636,0.8371428571428572,0.827683615819209,354,0.7700170357751278,0.9699570815450643,0.6384180790960452,354,0.4732394366197183,0.47191011235955055,0.4745762711864407,354,0.9209039548022597,0.9209039548022598,0.9209039548022598,354,0.8885869565217392,0.856020942408377,0.923728813559322,354,0.7824817518248175,0.8096676737160121,0.7570621468926554,354,0.8851063829787235,0.8888888888888888,0.8813559322033898,354,0.8754914809960681,0.8166259168704156,0.943502824858757,354,0.6561360874848117,0.5756929637526652,0.7627118644067796,354,0.6767830045523521,0.7311475409836066,0.6299435028248588,354,0.7761132455191981,0.7877957932469697,0.7759887005649717,3540,0.7761132455191981,0.7877957932469697,0.7759887005649717,3540,0.7759887005649717
5,D2,0.7527472527472526,0.732620320855615,0.7740112994350282,354,0.7694753577106518,0.88,0.6836158192090396,354,0.33720930232558144,0.5370370370370371,0.2457627118644068,354,0.8350253807106599,0.7580645161290323,0.9293785310734464,354,0.8782608695652174,0.9017857142857143,0.8559322033898306,354,0.8093922651933702,0.7918918918918919,0.827683615819209,354,0.8315508021390375,0.7893401015228426,0.8785310734463276,354,0.8746438746438745,0.882183908045977,0.867231638418079,354,0.5693430656934306,0.4512396694214876,0.7711864406779662,354,0.6442953020134229,0.7933884297520661,0.5423728813559322,354,0.7301943472742499,0.7517551588941664,0.7375706214689266,3540,0.7301943472742499,0.7517551588941663,0.7375706214689266,3540,0.7375706214689266
6,D4,0.7603092783505155,0.6990521327014217,0.8333333333333334,354,0.7408695652173912,0.9638009049773756,0.6016949152542372,354,0.4130808950086058,0.5286343612334802,0.3389830508474576,354,0.8839779005524863,0.8648648648648649,0.903954802259887,354,0.903409090909091,0.9085714285714286,0.8983050847457628,354,0.8140442132639791,0.7542168674698795,0.884180790960452,354,0.8627968337730871,0.8094059405940595,0.923728813559322,354,0.8571428571428572,0.8953846153846153,0.8220338983050848,354,0.6099773242630386,0.509469696969697,0.7598870056497176,354,0.7183544303797468,0.8165467625899281,0.6412429378531074,354,0.75639623888608,0.774994757535675,0.7607344632768361,3540,0.7563962388860798,0.774994757535675,0.7607344632768361,3540,0.7607344632768361
7,D8,0.8134228187919463,0.7749360613810742,0.8559322033898306,354,0.7379310344827587,0.9469026548672567,0.6045197740112994,354,0.46497764530551416,0.4921135646687697,0.4406779661016949,354,0.8710526315789474,0.8152709359605911,0.9350282485875706,354,0.9005847953216375,0.9333333333333333,0.8700564971751412,354,0.8266666666666667,0.7828282828282829,0.8757062146892656,354,0.8777923784494088,0.8206388206388207,0.943502824858757,354,0.8829071332436069,0.8431876606683805,0.9265536723163842,354,0.6293706293706293,0.6232686980609419,0.635593220338983,354,0.7213114754098362,0.7634069400630915,0.6836158192090396,354,0.7726017208620951,0.7795886952470543,0.7771186440677966,3540,0.7726017208620952,0.7795886952470543,0.7771186440677966,3540,0.7771186440677966
8,ResNet18,0.6518518518518519,0.6853582554517134,0.6214689265536724,354,0.11609498680738788,0.88,0.062146892655367235,354,0.265450861195542,0.20695102685624012,0.3700564971751412,354,0.7346938775510204,0.7590361445783133,0.711864406779661,354,0.6517690875232774,0.9562841530054644,0.4943502824858757,354,0.7193798449612403,0.7972508591065293,0.655367231638418,354,0.6513089005235602,0.5174708818635607,0.8785310734463276,354,0.8097412480974125,0.8778877887788779,0.751412429378531,354,0.4919678714859438,0.38161993769470404,0.692090395480226,354,0.5541740674955595,0.7464114832535885,0.4406779661016949,354,0.5646432597492795,0.6808270530588991,0.5677966101694915,3540,0.5646432597492795,0.6808270530588991,0.5677966101694916,3540,0.5677966101694916
9,ResNet50,0.4839948783610756,0.4426229508196721,0.5338983050847458,354,0.0,0.0,0.0,354,0.0,0.0,0.0,354,0.0223463687150838,1.0,0.011299435028248588,354,0.4304347826086956,0.9339622641509434,0.2796610169491525,354,0.03333333333333333,1.0,0.01694915254237288,354,0.36363636363636365,0.7226890756302521,0.24293785310734464,354,0.237037037037037,0.9411764705882353,0.13559322033898305,354,0.2167119565217391,0.12316602316602317,0.9011299435028248,354,0.42105263157894735,0.5276595744680851,0.3502824858757062,354,0.22085473517922755,0.5691276358823211,0.24717514124293788,3540,0.22085473517922752,0.5691276358823212,0.24717514124293785,3540,0.24717514124293785
