,Model,barred spiral galaxies - f1-score,barred spiral galaxies - precision,barred spiral galaxies - recall,barred spiral galaxies - support,cigar shaped smooth galaxies - f1-score,cigar shaped smooth galaxies - precision,cigar shaped smooth galaxies - recall,cigar shaped smooth galaxies - support,disturbed galaxies - f1-score,disturbed galaxies - precision,disturbed galaxies - recall,disturbed galaxies - support,edge-on galaxies with bulge - f1-score,edge-on galaxies with bulge - precision,edge-on galaxies with bulge - recall,edge-on galaxies with bulge - support,edge-on galaxies without bulge - f1-score,edge-on galaxies without bulge - precision,edge-on galaxies without bulge - recall,edge-on galaxies without bulge - support,in-between round smooth galaxies - f1-score,in-between round smooth galaxies - precision,in-between round smooth galaxies - recall,in-between round smooth galaxies - support,merging galaxies - f1-score,merging galaxies - precision,merging galaxies - recall,merging galaxies - support,round smooth galaxies - f1-score,round smooth galaxies - precision,round smooth galaxies - recall,round smooth galaxies - support,unbarred loose spiral galaxies - f1-score,unbarred loose spiral galaxies - precision,unbarred loose spiral galaxies - recall,unbarred loose spiral galaxies - support,unbarred tight spiral galaxies - f1-score,unbarred tight spiral galaxies - precision,unbarred tight spiral galaxies - recall,unbarred tight spiral galaxies - support,macro avg - f1-score,macro avg - precision,macro avg - recall,macro avg - support,weighted avg - f1-score,weighted avg - precision,weighted avg - recall,weighted avg - support,Accuracy
0,C16,0.8839779005524863,0.8648648648648649,0.903954802259887,354,0.8676923076923077,0.9527027027027027,0.7966101694915254,354,0.5424954792043398,0.7537688442211056,0.423728813559322,354,0.9239280774550483,0.9051490514905149,0.943502824858757,354,0.9306930693069306,0.9320113314447592,0.9293785310734464,354,0.8574999999999999,0.7690582959641256,0.9689265536723164,354,0.9215406562054208,0.930835734870317,0.9124293785310734,354,0.9078590785907859,0.8723958333333334,0.9463276836158192,354,0.6623544631306598,0.6109785202863962,0.7231638418079096,354,0.7848101265822784,0.7815126050420168,0.788135593220339,354,0.8282851158720257,0.8373277784220136,0.8336158192090396,3540,0.8282851158720258,0.8373277784220136,0.8336158192090396,3540,0.8336158192090396
1,C2,0.7994505494505494,0.7780748663101604,0.8220338983050848,354,0.7712418300653594,0.9147286821705426,0.6666666666666666,354,0.4352331606217617,0.56,0.3559322033898305,354,0.8437917222963952,0.8,0.8926553672316384,354,0.882857142857143,0.8930635838150289,0.8728813559322034,354,0.842384105960265,0.7930174563591023,0.8983050847457628,354,0.8064046579330422,0.8318318318318318,0.7824858757062146,354,0.8859060402684564,0.8439897698209718,0.9322033898305084,354,0.6064209274673009,0.5236139630390144,0.7203389830508474,354,0.7573099415204678,0.7848484848484848,0.731638418079096,354,0.7631000078440742,0.7723168638195137,0.7675141242937853,3540,0.7631000078440741,0.7723168638195136,0.7675141242937853,3540,0.7675141242937853
2,C4,0.8635724331926863,0.8599439775910365,0.867231638418079,354,0.8432601880877743,0.9471830985915493,0.7598870056497176,354,0.5212947189097105,0.6566523605150214,0.4322033898305085,354,0.8971193415637859,0.872,0.923728813559322,354,0.9119318181818182,0.9171428571428571,0.9067796610169492,354,0.8733850129198967,0.8047619047619048,0.9548022598870056,354,0.8857545839210156,0.8845070422535212,0.8870056497175142,354,0.900537634408602,0.8589743589743589,0.9463276836158192,354,0.661596958174905,0.6,0.7372881355932204,354,0.7856115107913669,0.8005865102639296,0.7711864406779662,354,0.8144064200151562,0.820175211009418,0.8186440677966103,3540,0.8144064200151561,0.8201752110094178,0.8186440677966101,3540,0.8186440677966101
3,C8,0.8861454046639232,0.8613333333333333,0.9124293785310734,354,0.8878787878787879,0.9575163398692811,0.827683615819209,354,0.49097472924187724,0.68,0.384180790960452,354,0.929655172413793,0.9083557951482479,0.9519774011299436,354,0.9289772727272726,0.9342857142857143,0.923728813559322,354,0.8705882352941176,0.8102189781021898,0.940677966101695,354,0.9090909090909091,0.9002770083102493,0.9180790960451978,354,0.905349794238683,0.88,0.9322033898305084,354,0.6568265682656828,0.5816993464052288,0.7542372881355932,354,0.772594752186589,0.7981927710843374,0.748587570621469,354,0.8238081626001635,0.831187928653858,0.8293785310734462,3540,0.8238081626001637,0.8311879286538584,0.8293785310734463,3540,0.8293785310734463
4,D16,0.896457765667575,0.8657894736842106,0.9293785310734464,354,0.8763358778625955,0.9534883720930233,0.8107344632768362,354,0.5589836660617059,0.7817258883248731,0.4350282485875706,354,0.9338959212376934,0.9299719887955182,0.9378531073446328,354,0.9385474860335196,0.9281767955801105,0.9491525423728814,354,0.8812260536398467,0.8041958041958042,0.9745762711864406,354,0.915014164305949,0.9176136363636364,0.9124293785310734,354,0.8882978723404255,0.8391959798994975,0.943502824858757,354,0.7107652399481194,0.657074340527578,0.7740112994350282,354,0.7646219686162624,0.7723342939481268,0.7570621468926554,354,0.8364146015713692,0.8449566573412379,0.8423728813559321,3540,0.8364146015713694,0.8449566573412379,0.8423728813559322,3540,0.8423728813559322
5,D2,0.8571428571428571,0.8419618528610354,0.8728813559322034,354,0.8246445497630333,0.9354838709677419,0.7372881355932204,354,0.49825783972125437,0.65,0.403954802259887,354,0.8999999999999999,0.8626943005181347,0.940677966101695,354,0.8920454545454545,0.8971428571428571,0.8870056497175142,354,0.8697916666666667,0.8067632850241546,0.943502824858757,354,0.8917748917748918,0.911504424778761,0.8728813559322034,354,0.8990578734858681,0.8586118251928021,0.943502824858757,354,0.6423357664233577,0.5641025641025641,0.7457627118644068,354,0.7536656891495601,0.7835365853658537,0.7259887005649718,354,0.8028716588672943,0.8111801565953904,0.8073446327683615,3540,0.8028716588672944,0.8111801565953906,0.8073446327683615,3540,0.8073446327683615
6,D4,0.8640646029609691,0.8251928020565553,0.9067796610169492,354,0.8619631901840491,0.9429530201342282,0.7937853107344632,354,0.5474452554744524,0.7731958762886598,0.423728813559322,354,0.914364640883978,0.8945945945945946,0.9350282485875706,354,0.9267605633802817,0.9241573033707865,0.9293785310734464,354,0.8701298701298701,0.8052884615384616,0.9463276836158192,354,0.9189944134078212,0.9088397790055248,0.9293785310734464,354,0.9131034482758621,0.8921832884097035,0.9350282485875706,354,0.6973180076628352,0.6363636363636364,0.7711864406779662,354,0.7983074753173485,0.7971830985915493,0.7994350282485876,354,0.8312451467677467,0.8399951860353699,0.8370056497175142,3540,0.8312451467677466,0.83999518603537,0.8370056497175141,3540,0.8370056497175141
7,D8,0.8867403314917127,0.8675675675675676,0.9067796610169492,354,0.8417721518987342,0.9568345323741008,0.751412429378531,354,0.5567010309278351,0.7105263157894737,0.4576271186440678,354,0.9302325581395349,0.9018567639257294,0.96045197740113,354,0.9298998569384835,0.9420289855072463,0.9180790960451978,354,0.8676844783715012,0.7893518518518519,0.963276836158192,354,0.9247910863509751,0.9120879120879121,0.9378531073446328,354,0.9103260869565217,0.8769633507853403,0.9463276836158192,354,0.6953125,0.644927536231884,0.7542372881355932,354,0.7869318181818181,0.7914285714285715,0.7824858757062146,354,0.8330391899257117,0.8393573387549678,0.8378531073446329,3540,0.8330391899257117,0.8393573387549677,0.8378531073446328,3540,0.8378531073446328
8,ResNet18,0.7835926449787834,0.7847025495750708,0.7824858757062146,354,0.7845659163987139,0.9104477611940298,0.6892655367231638,354,0.43918918918918926,0.5462184873949579,0.3672316384180791,354,0.8515950069348128,0.8365122615803815,0.867231638418079,354,0.8755244755244757,0.8670360110803325,0.884180790960452,354,0.8434670116429496,0.7780429594272077,0.9209039548022598,354,0.8210227272727272,0.8257142857142857,0.8163841807909604,354,0.8625336927223719,0.8247422680412371,0.903954802259887,354,0.5749690210656753,0.5121412803532008,0.655367231638418,354,0.697274031563845,0.7084548104956269,0.6864406779661016,354,0.7533733717293544,0.7594012674856331,0.7573446327683615,3540,0.7533733717293546,0.759401267485633,0.7573446327683616,3540,0.7573446327683616
9,ResNet50,0.7939142461964039,0.7777777777777778,0.8107344632768362,354,0.7916666666666666,0.9148148148148149,0.6977401129943502,354,0.463768115942029,0.5393258426966292,0.4067796610169492,354,0.8497109826589595,0.8698224852071006,0.8305084745762712,354,0.8860759493670887,0.8823529411764706,0.8898305084745762,354,0.8495339547270305,0.8035264483627204,0.9011299435028248,354,0.825531914893617,0.8290598290598291,0.8220338983050848,354,0.9004207573632539,0.8941504178272981,0.9067796610169492,354,0.5787451984635084,0.5292740046838408,0.6384180790960452,354,0.753623188405797,0.7061728395061728,0.807909604519774,354,0.7692990974684355,0.7746277401112653,0.771186440677966,3540,0.7692990974684356,0.7746277401112653,0.7711864406779662,3540,0.7711864406779662
